Iteration	Matrix Size	Duration
1			100			0.0035039
2			100			0.00353667
3			100			0.00356805
4			100			0.00354107
5			100			0.00335073
6			100			0.00360114
1			200			0.025512
2			200			0.0259952
3			200			0.0250221
4			200			0.0254602
5			200			0.027454
6			200			0.0270283
1			300			0.0846731
2			300			0.0859406
3			300			0.0847964
4			300			0.0865335
5			300			0.0960403
6			300			0.0947722
1			400			0.202949
2			400			0.226185
3			400			0.227525
4			400			0.227697
5			400			0.274144
6			400			0.26563
