Iteration	Matrix Size	Duration
1			100			0.012164
2			100			0.0104339
3			100			0.00340021
4			100			0.00179309
5			100			0.00398236
6			100			0.00428684
1			200			0.00973747
2			200			0.00972508
3			200			0.0099341
4			200			0.0114683
5			200			0.00999845
6			200			0.0322773
1			300			0.0304088
2			300			0.0306188
3			300			0.0302601
4			300			0.035722
5			300			0.0323773
6			300			0.099793
1			400			0.0695887
2			400			0.0645475
3			400			0.0696286
4			400			0.08995
5			400			0.0743101
6			400			0.213838
