NumOfThreads	NumOfSamples	Duration
2		1000		0.000202893
2		2000		0.000151663
2		3000		0.000222832
2		4000		0.000323242
2		5000		0.000384199
2		6000		0.000468164
2		7000		0.000542186
2		8000		0.000644928
2		9000		0.000708969
2		10000		0.000803951
4		1000		0.000127833
4		2000		7.0329e-05
4		3000		8.732e-05
4		4000		0.000147029
4		5000		0.00022473
4		6000		0.000178028
4		7000		0.000226899
4		8000		0.000251443
4		9000		0.00028468
4		10000		0.000321763
6		1000		6.2187e-05
6		2000		4.4336e-05
6		3000		5.536e-05
6		4000		7.7227e-05
6		5000		0.000114444
6		6000		0.000108901
6		7000		0.000137875
6		8000		0.000146207
6		9000		0.000176022
6		10000		0.000192866
