NumOfThreads	NumOfSamples	Duration
2		1000		0.000329693
2		2000		0.00065684
2		3000		0.000912641
2		4000		0.00131762
2		5000		0.00165088
2		6000		0.00196123
2		7000		0.00229281
2		8000		0.00255576
2		9000		0.00300331
2		10000		0.00332009
4		1000		0.000536411
4		2000		0.00101339
4		3000		0.00157029
4		4000		0.00209345
4		5000		0.00251084
4		6000		0.00302316
4		7000		0.00350334
4		8000		0.00405255
4		9000		0.00472068
4		10000		0.00530636
6		1000		0.000746988
6		2000		0.00136647
6		3000		0.0020451
6		4000		0.00276147
6		5000		0.00341023
6		6000		0.00414088
6		7000		0.00477653
6		8000		0.00545094
6		9000		0.00614561
6		10000		0.00679633
