NumOfThreads	NumOfSamples	Duration
2		1000		8.0711e-05
2		2000		0.000160742
2		3000		0.00023294
2		4000		0.000317524
2		5000		0.000389539
2		6000		0.000477342
2		7000		0.000552895
2		8000		0.000625877
2		9000		0.00069744
2		10000		0.00078881
4		1000		9.204e-05
4		2000		6.5667e-05
4		3000		9.2994e-05
4		4000		0.000128889
4		5000		0.000162965
4		6000		0.000179074
4		7000		0.000222403
4		8000		0.000248753
4		9000		0.000291743
4		10000		0.000309352
6		1000		4.284e-05
6		2000		4.081e-05
6		3000		5.5846e-05
6		4000		8.3147e-05
6		5000		9.5368e-05
6		6000		0.000112461
6		7000		0.000134995
6		8000		0.000152724
6		9000		0.000185889
6		10000		0.000187141
