NumOfThreads	NumOfSamples	Duration
2		1000		7.8476e-05
2		2000		0.000153816
2		3000		0.000214133
2		4000		0.000303342
2		5000		0.000409706
2		6000		0.000492347
2		7000		0.000549307
2		8000		0.00062363
2		9000		0.000698639
2		10000		0.000826357
4		1000		9.2116e-05
4		2000		6.4846e-05
4		3000		9.1344e-05
4		4000		0.000131367
4		5000		0.00015763
4		6000		0.000193588
4		7000		0.000222309
4		8000		0.000253609
4		9000		0.000278153
4		10000		0.00030903
6		1000		5.9345e-05
6		2000		3.9127e-05
6		3000		5.6272e-05
6		4000		7.663e-05
6		5000		9.5812e-05
6		6000		0.000109005
6		7000		0.000135237
6		8000		0.000144253
6		9000		0.000170365
6		10000		0.000182779
